,Number of sections,Optional Header Size,IMAGE_FILE_RELOCS_STRIPPED,IMAGE_FILE_EXECUTABLE_IMAGE,IMAGE_FILE_LINE_NUMS_STRIPPED,IMAGE_FILE_LOCAL_SYMS_STRIPPED,IMAGE_FILE_AGGRESSIVE_WS_TRIM,IMAGE_FILE_BYTES_REVERSED_LO,IMAGE_FILE_32BIT_MACHINE,IMAGE_FILE_DEBUG_STRIPPED,IMAGE_FILE_REMOVABLE_RUN_ FROM_SWAP,IMAGE_FILE_SYSTEM,IMAGE_FILE_DLL,IMAGE_FILE_UP_SYSTEM_ONLY,Contents applicable to any machine type,Matsushita AM33,AMD64(K8),ARM little endian,ARMv7 (or higher) Thumb mode only,ARMv8 in 64-bit mode,EFI byte code,Intel 386 or later processors and compatible processors,Intel Itanium processor family,Mitsubishi M32R little endian,MIPS16,MIPS with FPU,MIPS16 with FPU,Power PC little endian,Power PC with floating point support,MIPS little endian,Hitachi SH3,Hitachi SH3 DSP,Hitachi SH4,Hitachi SH5,ARM or Thumb (“interworking”),MIPS little-endian WCE v2,Recently Compiled,32 Bit PE Image,ROM Image,64 Bit PE Image,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfImage,SizeOfHeaders,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,NumberOfRvaAndSizes,IMAGE_SUBSYSTEM_UNKNOWN,IMAGE_SUBSYSTEM_NATIVE,IMAGE_SUBSYSTEM_WINDOWS_GUI,IMAGE_SUBSYSTEM_WINDOWS_CUI,IMAGE_SUBSYSTEM_POSIX_CUI,IMAGE_SUBSYSTEM_WINDOWS_CE_GUI,IMAGE_SUBSYSTEM_EFI_APPLICATION,IMAGE_SUBSYSTEM_EFI_RUNTIME_DRIVER,IMAGE_SUBSYSTEM_EFI_ROM,IMAGE_SUBSYSTEM_XBOX,IMAGE_DLL_CHARACTERISTICS_DYNAMIC_BASE,IMAGE_DLL_CHARACTERISTICS_NX_COMPAT,IMAGE_DLLCHARACTERISTICS_NO_ISOLATION,IMAGE_DLLCHARACTERISTICS_NO_SEH,IMAGE_DLLCHARACTERISTICS_NO_BIND,IMAGE_DLLCHARACTERISTICS_WDM_DRIVER,IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE,size of Export Directory,size of Import Directory,size of Resource Directory,size of Exception Directory,size of Security Directory,size of Base Relocation Directory,size of Debug Directory,size of Bound Import Directory,size of Load Configuration Directory,total size of all Import Address Tables,Suspicious File,File Entropy,Uncommon Sections,Packed Sections,Suspicious Writeable Sections,Malware
0,4,224,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,6,0,438272,262144,0,4,0,0,0,4,0,704512,4096,1048576,1048576,0,0,180,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,57736,0,0,0,0,0,0,916,0,6.2054472370000004,0,0,0,0
1,3,224,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,12,0,356352,77824,610304,5,1,0,0,5,1,1048576,4096,4194304,4194304,0,0,1060,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1060,75884,0,0,24,0,0,72,0,1,7.998818765,2,2,1,1
2,5,224,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,14,22,3680768,1728000,0,6,0,0,0,6,0,5423104,1024,1048576,1048576,0,4669040,640,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80,640,888,0,17968,286088,84,0,64,7616,0,6.482820846,0,0,0,0
3,5,224,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,14,23,534528,285696,0,5,1,0,0,5,1,831488,1024,1048576,1048576,0,0,260,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,260,80992,0,7736,30384,112,0,64,896,1,6.7121439270000005,0,0,0,0
4,6,240,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,14,20,13824,13312,0,10,0,10,0,10,0,45056,1024,524288,8192,1048576,4096,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,2088,456,0,32,84,0,280,704,0,5.257293255,0,0,0,0
5,5,224,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1,71,1323520,346112,0,1,0,0,0,4,0,1662976,1024,4096,65536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32354,0,0,0,0,0,0,0,0,5.364732035,0,0,0,1
6,6,224,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2,25,2940928,3294208,0,5,0,0,0,5,0,9342976,1024,0,1048576,0,6291456,1272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1272,2929508,0,0,12,0,0,0,0,1,7.999278656,5,0,0,1
7,5,224,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,14,23,235520,110592,0,5,1,0,0,5,1,360448,1024,1048576,1048576,0,0,160,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,160,1336,0,7736,12452,112,0,64,584,0,6.644011065,0,0,0,0
8,5,224,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,14,27,128000,69632,0,6,0,0,0,6,0,212992,1024,1048576,1048576,0,187936,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,60,480,0,7160,7588,84,0,64,328,0,6.604390447999999,0,0,0,0
9,6,240,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,14,16,191488,126464,0,6,0,0,0,6,0,331776,1024,1048576,4096,1048576,4096,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1000,11004,12024,3284,112,0,256,920,0,6.31874059,0,0,0,0
10,9,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2,25,155136,221696,0,5,0,0,0,5,0,413696,1024,1048576,1048576,0,0,6878,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6878,207872,0,15360,0,0,0,0,1020,0,6.688189658,0,0,0,1
11,3,224,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,8,0,667136,2048,0,4,0,0,0,4,0,696320,512,1048576,1048576,0,0,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83,1536,0,0,12,0,0,0,8,1,6.972928552999999,0,0,0,1
12,4,224,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,6,0,217088,155648,0,4,0,0,0,4,0,376832,4096,1048576,1048576,0,0,240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,17336,0,0,0,0,0,0,1356,0,6.037886787000001,0,0,0,1
13,5,224,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2,50,74752,48640,0,4,0,0,0,4,0,139264,1024,1048576,1048576,0,0,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,22876,0,0,3692,0,0,0,400,0,6.156083968,0,0,0,1
14,7,224,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,14,16,4177920,1289728,0,6,0,0,0,6,0,13889536,1024,1048576,1048576,0,13444916,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3151,500,197753,0,7488,1444,0,0,64,240,1,7.928586985,2,0,0,0
